name                                         | homepage                                           | description
Pitawerk                                     | www.pitawerk.at                                    | Auf der äußeren Mariahilfer Straße werden Pitas nach einer traditionellen Rezeptur täglich frisch hergestellt. Erlernt von einem der besten Bäckermeister in Bosnien-Herzegowina mit ausschließlich frischen und regionalen Zutaten.
S'Frische - Das fitte Bistro                 | www.sfrische.at                                    | Im s'frische - das fitte bistro dreht sich alles um eine gesunde Ernährung und einen freshen Lifestyle.
Sanfish                                      | www.sanfisch.at                                    | Dominik hat eine Vorliebe für gutes Essen, kocht gerne und liebt Meeresfrüchte. Auf Reisen nach Südostasien und in die USA entstand die Idee Fisch in verschiedenen Variationen auf die Teller der Wiener zu zaubern.
Schachtelw!rt                                | www.schachtelwirt.at                               | Beim Schachtelw!rt wird in der Box gedacht. Schnelle Hausmannskost in einem kleinen Lokal in der Partymeile Bermudadreieck.
Schelato                                     | www.schelato.at                                    | Carrot Cake, Waldbeer-Zweigelt, Mohn-Maracuja, Granatapfel-Basilikum, Lakritz - die Sorten von Schelato klingen wie ein süßer Traum, aus dem man erwacht und nur eines will: Eis, Eis, Eis.
Schrittesser Speck&Bar                       | www.schrittesser.at                                | Direkt hinter der Hauptuni, zwischen Rathaus und Votivkirche, liegt Klein-Kärnten. Unter einem wunderschönen Stilhaus mit Arkadengang sitzend könnt ihr hier hochwertige Bioprodukte aus Kärnten verputzen.
Shoyu Ramen                                  | www.shoyu.at                                       | Hilft garantiert bei Heim- oder Fernweh: die japanische Hausmannskost im SHOYU. Mitten in Wien serviert das SHOYU hausgemachte Ramen, das beliebteste Soulfood Asiens, das mit seinen vielen Varianten unterschiedlicher, aufwändig hergestellter Suppenfonds, Nudelsorten und vielfältigen Toppings jeden Geschmack trifft.
Simply Raw Bakery                            | www.simplyrawbakery.at                             | Gabriele und Shanna sagen den Vorurteilen gegenüber Rohkost den Kampf an. Also weg mit Sellerie und Karottenstangerl und her mit Sacherwürfeln, Trüffeln und anderen Leckerbissen.
Sägewerk Wien                                | www.diebausatzlokale.at                            | Viele typische Stuendtenlokale gibt es in Wien nicht. Das Sägewerk ist allerdings eines, das diesen Titel tragen darf. Es gehört zu der bekannten Bausatzlokalgruppe, die insgesamt 12 Lokale in Graz und Wien betreiben.
The Room - Sofiensäle                        | www.theroom.at                                     | Wo lässt es sich besser ein Gläschen Champagner schlürfen als in den historischen Räumen der geschichtsträchtigen Sofiensäle? Ein Erlebnis zu jeder Tages- und Nachtzeit.
Toma Tu Tiempo                               | www.tomatutiempo.at                                | Auftrag: Zeit nehmen im Toma Tu Tiempo. Zeit zum Essen, Zeit zum Genießen, Zeit, um das südländische Flair auf sich wirken zu lassen. Neben spanischem Wein bringt Lucia - die eigentlich Juristin ist - mit ihrem spanischsprachigen Team leckere Tapas auf den Tisch.
Weingut & Heuriger Christ                    | www.weingut-christ.at                              | Unzählige Male besungen, gilt der Heurige als Treffpunkt und Kulturgut der Wiener. Schon an den Grenzen zu Wiens Weinbergen befindet sich in Jedlersdorf einer der modernsten Wiener Heurigen, Teil des Weinguts Christ.
Wrapstars                                    | www.wrapstars.at                                   | Ein Wiener Food Truck hat sich vorgenommen, die Welt durch besseres Essen zu retten, Wrap für Wrap.
Zuppa                                        | www.zuppa.at                                       | Täglich frisch gekocht wird im Zuppa. Neben abwechslungsreichen Suppen und Eintöpfen, gibt es bei Heidi Mayrhofer täglich mindestens zwei wechselnde Hauptsachen (veggie und nicht veggie) und verschiedene köstliche Desserts.
Zur Herknerin                                | www.zurherknerin.at                                | Im ehemaligen Installateurgeschäft an der Wiedner Hauptstraße findet sich heute Hausmannskost deluxe.
Achtundzwanzig                               | www.achtundzwanzig.at                              | "Direkt vis-à-vis der ""people on caffeine"" dreht sich alles um den Wein. An der großen Kreidetafel über der Bar im Achtundzwanzig lässt sich ausfindig machen, welche Weine hier offen ausgeschenkt werden. Allesamt österreichischer Herkunnft, allesamt abseits der üblichen Verdächtigen."
Au - Raum für Kunst und Kultur               | www.viennau.com                                    | Das AU gleich beim Yppenplatz ist das beste Lokal für ein gemütliches Bier. Lauter kann's mal werden, wenn im hinteren Clubraum die Anlage angeworfen wird und Partys stattfinden, auf die man eher zufällig stößt.
Beaver Brewing Company                       | www.beaverbrewing.at                               | Hochqualitatives Bier und Essen zu fairen Preisen: Bei der Beaver Brewing Company bekommt ihr genau das.
Bits and Bites                               | www.bitsandbites.at                                | Im Bits and Bites erwartet die Gäste ein ansprechendes Ambiente mit toller Speisekarte. Die Brasserie ist berühmt für leckeren Brunch und Dinnerkreationen auf Haubenniveau zum leistbaren Preis.
Black Dogs Coffee                            | www.blackdogs.at                                   | Cimbali, M39, Greaf Contessa: Begriffe, die gerne im Black Dogs Coffee fallen. Ein Kleinod für Third Wave Coffee schufen zwei Freunde aus Leidenschaft für Kaffee.
Botanical Garden                             | www.botanicalgarden.at                             | Den botanischen Garten findet man hier auf den Beeten der Bar und im Cocktailglas. Kräuter aus Eigenanbau geben den Drinkkreationen die besondere Würze.
Brauwerk                                     | www.brauwerk.wien                                  | Das Brauwerk ist Kreativwerkstatt rund um das Thema Gerstensaft. Braumeister und Brauwerkler experimentieren im modernen Glasbau, während die Gäste an der Bar gegenüber der Kesssel die ersten Kreationen verkosten.
Buschenschank & Bioweinbau Obermann          | www.weinbauobermann.at                             | Ein kurzer Fußmarsch durch die Weingärten von Wien wird nicht nur mit einer herrlichen Aussicht belohnt, sondern auch mit einem guten Glas Wein im Weingut Obermann. In fünfter Generation werden hier die lokalen Rebsorten wie Grüner Veltliner oder Riesling zu Wein gemacht.
Café Klitzeklein                             | www.cafeklitzeklein.at                             | Ein wahres Kleinod: Wer den Massen am Eingang zum Prater aus dem Weg gehen möchte, ohne auf seinen schmackhaften Cappuccino mit Ausblick auf das Riesenrad zu verzichten, ist hier genau richtig.
Café Zeitgenossin                            | .                                                  | Kerstin hat sich einen Traum erfüllt und ihr Café Zeitgenossin in Döbling eröffnet. Als Sozialpädagogin hat sie auf einem Segelschiff gearbeitet und an der Küste Englands ihre Liebe für Scones entdeckt. Heute steht sie als Zeitgenossin gerne für einen Plausch zur Verfügung.
Creme de la Creme                            | www.cremedelacreme.at                              | Zum Anbeißen ist Julias mintfarbene Patisserie unweit des Alten AKH in der Wiener Josefstadt. Bugholzstühle, modern interpretierte Luster und hoher Plafond.
Deli Bluem                                   | www.delibluem.at                                   | Im deli bluem gibt es frisches, lokal-saisonales, pflanzliches Slow-Food. In den Räumlichkeiten des Volkskundemuseums und am Hamerlingplatz wird auf eine moderne und gemütliche Atmosphäre gesetzt.
Jetzt Bar & Entertainment                    | www.dasjetzt.at                                    | Zweites Wohnzimmer, Zufluchtsort, Bierkneipe und noch vieles mehr vereint das Jetzt unter einem Dach. Besonders beliebt sind die wechselnden Biersorten vom Fass und in den heißen Wiener Sommernächten der grüne Innenhof.
Jonas Reindl Coffee                          | www.jonasreindl.at                                 | Jonas Reindl Coffee bietet ein außergewöhnliches Kaffee-Erlebnis. Dazu sind viele Partner notwendig, die einen wichtigen Teil beitragen, bis der Kaffee in den Tassen oder im Becher der Gäste landet.
Kaffeefabrik                                 | www.kaffeefabrik.at                                | Die  kaffeefabrik ist eine kleine Kaffeebar und eine Kaffeerösterei, in der man hervorragenden, direkt importierten Bio-Kaffee aus Äthiopien, Brasilien oder Ecuador genießen kann - klassisch aus der Espressomaschine oder sorgfältig von Hand aufgegossen als Filterkaffee.
Kaffeemodul                                  | www.kaffeemodul.at                                 | Munter wird man im Kaffeemodul in der Josefstadt. Im Paradies für Kaffeeliebhaber bekommt ihr neben Kaffee-Klassikern wie cremigem Cappuccino und starkem Ristretto auch fruchtigen Espresso, Flat White und Milchkaffee, heiß oder geeist und dazu süße Kleinigkeiten von der Tortenmanufaktur Zola Auböck.
Kaffemik                                     | www.kaffemik.at                                    | Klein, hübsch und puristisch kommt das Kaffemik daher. Third Wave Coffee kommt hier in die Tassen.
Polkadot Vienna                              | www.polkadot.at                                    | Auf der Suche nach einem richtig gemütlichen Studentenbeisl? Hier stimmt nicht nur das Ambiente, auch das Bierangebot darf sich sehen lassen.
Tapete                                       | www.tapete.bar, www.fb.com/tapete.bar              | "Der Name ist Programm: Tapetenmuster vergangener Tage bilden einen Fleckerlteppich an Teilen der Wand, das restliche Gemäuer blitzt in Baustellenoptik zwischen Blümchenmuster hervor. ""Eine Mischung aus Lagerhalle und Oma's Wohnzimmer"" nennen es die Betreiber selbst."
Adamah Biohof                                | www.adamah.at                                      | Im nahegelegenen Mrchfeld gedeiht bestes BioGemüse am ADAMAH BioHof, dem Vorreiter der BioKistln. In verschiedenen Varianten kann man sich die Vitaminbomben bequem online nach Hause bestellen.
Archäonow                                    | www.archaeo-now.com                                | Alte Römerwege, gruselige Schauergeschichten, Wiener Kaffeehaus-Flair - die Rätselrallyes von Archäo Now sind ein interaktives Erlebnisspiel durch die Innenstadt.
Arnulf Rainer Museum                         | www.arnulf-rainer-museum.at                        | Dem 1929 in Baden geborenen österreichischen Künstler widmet das Arnulf Rainer museum ebendort einen gebührenden Schauraum. Bekannt für seine Übermalungen zeigt man in den regelmäßig wechselnden Ausstellungen aber auch andere Schaffensperioden.
Bank Austria Kunstforum Wien                 | www.kunstforumwien.at                              | Das Bank Austria Kunstforum Wien ist für Kulturinteressierte die erste Anlaufstelle, wenn es um die VIP's der Malerei geht. In international aufsehenerregenden Wechselausstellungen präsentiert das Ausstellungshaus in der Wiener Innenstadt die Geschichte der klassischen Moderne und ihre Folgen in Kooperationen mit den berühmtesten Sammlungen der Welt.
Blün                                         | www.bluen.at                                       | BLÜN ist die erste kommerzielle Aquaponikanlage Wiens. Es werden nachhaltige Technologie, Fischzucht und Gemüseanbau in einem geschlossenem Kreislauf vereint.
Brut                                         | www.brut-wien.at                                   | brut ist eine Produktions- und Spielstätte für Performative Künste in Wien und gehört zu den renommiertesten Häusern der freien Performance-, Tanz- und Theaterszene im deutschsprachigen Raum.
Burg Kino                                    | www.burgkino.at                                    | Familiäres Oldschool-Kinoflair mitten in der Stadt. Im Burg Kino, einem der ältesten Kinos der Welt und dem ersten Originalfassungskino in Wien, wird seit über hundert Jahren Wert auf ein qualitätsvolles und abwechslungsreiches Programm gelegt.
Cyberlab                                     | www.cyberlab.at                                    | "Im inoffiziellen ""photo-district"" Wiens befindet sich unweit der Galerie WestLicht das beliebteste Fotolabor der Stadt, das cyberlab. Hier trifft man professionelle Fotografen, Amateure und auch Lomographen."
Dialog im Dunkeln                            | www.imdunkeln.at, www.facebook.com/dialogimdunkeln | Dialog im Dunkeln - kein Augenblick Alltag. In der lichtlosen Erlebnisinstallation führen sehbehinderte Guides durch eine blinde Wirklichkeit, die dennoch voll von verschiedensten bunten Eindrücken ist.
Die Buntique                                 | www.diebuntique.at                                 | Von Hand mit Herz: Liebevoll Genähtes, knallbunt Designtes, fröhlich Gezeichnetes für Klein und Groß. Das fröhliche und kunterbunte Sortiment wird von drei kreativen Frauen hergestellt und durch DIY-Workshops ergänzt, in denen Interessenten selbst kreativ werden können.
Dritte Mann Museum                           | www.3mpc.net                                       | "Wer hat ihn nicht gesehen? Der 1948 in Wien gedrehte Filmklassiker ""Der dritte Mann"" erfreut sich nach wie vor internationaler Beliebtheit. Das Dritte Mann Museum ist Anlaufstelle für Filminteressierte und Türöffner zur Wiener Zeitgeschichte."
Fesch'Markt Wien                             | www.feschmarkt.info                                | Der FESCH'MARKT ist Österreichs größtes Marktfestival für Kunst und Design. Zweimal im Jahr ist er der Place-to-be für alle die gerne individuell shoppen, sich gerne inspirieren oder einfach die Seele baumeln lassen möchten.
Gartenbaukino                                | www.gartenbaukino.at                               | Mit 736 Sitzplätzen ist es das letzte Einsaalkino in der Wiener Innenstadt. Neben regulären Filmvorführungen dient das Gartenbaukino auch als Schauplatz für zahlreiche Filmpremieren und unter anderem als Spielstätte der Viennale.
Hands Up                                     | www.handsup.wien                                   | Mittern in Wien kann man Stille neu erleben. In einer Erlebnisausstellung taucht man für eine Stunde in die Welt der Gehörlosen ein. Ohne zu hören und ohne zu sprechen gehen Besucher_innen durch die Ausstellung - alleine oder geführt von gehörlosen Guides.
Haus der Musik                               | www.hausdermusik.at                                | Wien ruht sich auf seiner Tradition als Musik- und Hochkulturstadt aus? Das Wiener Klangmuseum nicht. Es geht vielmehr einen Schritt weiter und wirft einen Blick in die Zukunft. Weltweit einzigartig lädt es in den Räumen des ehemaligen Palais Erzherzog Karls zur Interaktion ein.
Kauf Dich Glücklich                          | www.kaufdichgluecklich.de                          | "Bei Kauf Dich Glücklich findet ihr eine gelungene Auswahl an Damen- und Herrenmode, Wohnaccessoires, Naturkosmetik, Schmuck und Geschenkartikeln. Das Sortiment mit Schwerpunkt auf skandinavischem Design reicht von kleineren Labels über etablierte Modemarken bis hin zu Designer Brands und einer eigenen ""Kauf Dich Glücklich""-Kolektion."
Kunst Haus Wien Museum Hundertwasser         | www.kunsthauswien.com                              | Das lustige, bunte Haus im driten Bezirk beherbergt heute das KUNST HAUS WIEN und wurde vom berühmten Künstler Hundertwasser gestaltet. Keine Wand, keine Decke und kein Boden sind eben, die Malereien farbenfroh und pointiert.
Kunsthalle Wien                              | www.kunsthallewien.at                              | Die Kunsthalle Wien ist das Ausstellungshaus für zeitgenössische Kunst und Diskurs der Stadt Wien. Ein Ort der Auseinandersetzung, des Experiments, der permanenten Aktion und Veränderung - ein Haus, in dem aktuelle gesellschaftliche Fragestellungen verhandelt werden.
Metro Kinokulturhaus                         | www.filmarchiv.at                                  | Ein Kino mit viel Geschichte ist das Metro Kino Kulturhaus unweit des Stephansdoms. Noch heute ist die ursprüngliche Profession des Gebäudes nicht zu verschweigen. 1840 wurde es als Theater gegründet und er historische Saal verfügt über samterne Sitze in Rot und schwere Holzlogen im Hochparterre.
Mumok                                        | www.mumok.at                                       | Das mumok ist das wichtigste österreichische Museum für moderne und zeitgenössische Kunst.
Ottakringer Brauerei                         | www.ottakringer.at                                 | Die Ottakringer Brauerei ist ein Stück Wien, das ihr euch nicht entgehen lassen solltet: Seit 180 Jahren werden hier nicht nur Biere von höchster Qualität gebraut, die denkmalgeschützten Räumlichkeiten werden zudem für die Stadt geöffnet.
Pygmalion Theater Wien                       | www.pygmaliontheater.at                            | Das Pygmalion Theater Wien ist ein Laboratorium moderne Theaterideen, in welchem auf der Grundlage fundierter Kenntnisse des tradierten Theaters des Abendlandes neue Wege gesucht werden.
Radio The Label Bar                          | www.radiobar.berlin                                | Viele Farben, Tapeten, Flohmarkt-Equipment und ein Einhorn - das Lieblingstier der Besitzerin begrüßt die Besucher in der Berliner Bar in Wien. Hier kann man immer kommen, ob zum Techno-Trödel, zum Barsitzen, Tanzen oder Klamottenstöbern.
RE:TREAT - Home for Yoga, Meditation & Vegan | www.retreat-vienna.com                             | Das Yogastudio RE:TREAT achtet auf die Tradition des Yogas, nimmt sich aber auch die Freiheit diese neu zu deuten. Ob Anfänger oder Profi, jeder ist willkommen.
Schikaneder Kino                             | www.schikaneder.at                                 | Das Schikaneder ist eines der ältesten Kinos Wien und feierte kürzlich sein 110-jähriges Jubiläum.
Schokomuseum                                 | www.schokomuseum.at                                | Woher kommt eigentlich Kakao? Wie wird weiße Schokolade hergestellt? Und wofür steht Fairtrade? Dall das und vieles mehr erfahren alle wissbegierigen Naschkatzen und Schokotiger im süßesten Museum Wiens!
Sophort                                      | www.sophort.com                                    | Geht mit auf Entdeckungsreise! Bei der Polaroid-Fototour bekommt ihr eine originale Polaroid-Leihkamera, einen Film und die Erklärung, wie es funktioniert.
Stadtkino im Künstlerhaus                    | www.stadtkinowien.at                               | Vor mehr als hundert Jahren als Schwarzenbergkino eröffnet, ist es eines der ältesten Programmkinos Wiens und hat im Künstlerhaus seit 2013 eine neue Heimat gefunden. Der Saal gilt als einer der schönsten der Stadt.
Tag                                          | www.dastag.at, www.facebook.com/TAGtheater         | Das TAG - Theater an der Gumpendorfer Straße - produziert mit viel Leidenschaft und Anspruch kurzweiliges, zeitgemäßes Sprechtheater.
The Loft                                     | www.theloft.at                                     | The Loft ist ein Fixpunkt in der Wiener Clubszene. Das vielfältige Publikum plaudert im Café gleich beim Eingang und feiert auf bis zu drei Floors zu cooler Musik.
Theater Akzent                               | www.akzent.at                                      | Das Theater Akzent ist mit drei Theatersälen ein Ort der kulturellen Begegnung. Ein vielfältiger und abwechslungsreicher Spielplan bietet ZuschauerInnen aktuelle und künstlerisch ansprechende Produktionen aus dem In- und Ausland.
Theater im Zentrum                           | www.tdj.at                                         | Das Theater im Zentrum ist eine intime Wiener Innenstadtbühne, die auf eine bedeutende Geschichte bis in das Jahr 1913 zurückblicken darf. Heute fungiert es als zweite Spielstätte des Theaters der Jugend.
Top Kino                                     | www.topkino.at                                     | Im Top Kino werden Cinephile nicht nur durch bewegte Bilder verwöhnt. Es bietet Spielfilme und Dokumentationen und ein reichhaltiges Angebot an Speisen und Getränken in gemütlicher Wohnzimmeratmosphäre.
Viadukt Screen Prints                        | www.viadukt.at                                     | Viadukt Screen Prints ist eine von wenigen Siebdruckwerkstätten in Wien. Neben der künstlerischen Produktion verschiedenster lokaler KünstlerInnen und DesignerInnen werden in regelmäßigen Abständen internationale KünstlerInnen und DesignerInnen in die Studios eingeladen.
Volkskundemuseum Wien                        | www.volkskundemuseum.at                            | Das Volkskundemuseum Wien ist ein kulturwissenschaftliches Museum und versteht sich als offener Ort für NutzerInnen. Es beherbergt umfangreiche Sammlungen aus der ehemaligen Habsburgermonarchie.
Volkstheater                                 | www.volkstheater.at                                | Das Volkstheater ist das zweitgrößte Sprechtheater Wiens und nimmt die Hauptstadt Österreichs im Austausch mit der Welt in den Blick.
Werk                                         | www.daswerk.org                                    | Kunst lebt, Kunst leibt, Kunst WERKt! Im 2006 eröffneten WERK eröffnet sich eine Vielzahl an unbeschreibbaren Möglichkeiten: Der schönste Club Wien, Ateliers, Sound- und Fotostudio, WERKstatt, Konzertlocation, Kunstcafé, Gastgarten direkt am Donaukanalufer und Hafen verändern bereits jetzt und in Zukunft den Donaukanal an der Spittelau.
Werk X                                       | www.werk-x.at                                      | Das WERK X in Wien Meidling ist ein Verhandlungsraum zentraler gesellschaftlicher Gegenwartsfragen für progressive und politisch engagierte KünstlerInnen. Im Zentrum des Programms stehen alle zeitgenössischen Formen des Sprechtheaters.
Wiener Riesenrad                             | www.wienerriesenrad.com                            | Wer nicht einmal eine Runde mit dem Riesenrad gedreht hat und die tolle Aussicht über die Dächer der Stadt genossen hat, war nicht wirklich in Wien. 1897 anlässlich des 50. Thronjubiläums von Kaiser Franz Joseph I. erbaut, ist das Wiener Riesenrad seit jeher ein beliebter Treffpunkt für jedermann.
Wienführung                                  | www.wienfuehrung.com                               | Wer sich tiefer in das Innere Wiens vorwagen will, dem seien die vielfältigen Führungen von Wienfuehrung nahegelegt: Spaziergänge zu den schönsten Winkeln der Altstadt mit einem Blick auf die Wiener Seele.
WUK Werkstätten und Kulturhaus               | www.wuk.at                                         | Die ehemalige Lokomotivfabrik ist ein alternativer Veranstaltungsort für Musik, Performance, Tanz, Theater, Kunst und Kinderkultur. Als offener Kulturraum vereint das WUK Kreativität, politisches Engagement und Party.
Österreichisches Filmmuseum                  | www.filmmuseum.at                                  | "Das Österreichische Filmmuseum, im Erdgeschoß der Albertina beheimatet, ist mer als ""nur"" ein Kino: Cinémathèque, Archiv, Forschungsstätte, Vermittler von Film in all seinen Dimensionen und ein Ort des fachkundigen AUstausches."
